trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,text_6.started,text_6.stopped,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_8.started,text_8.stopped,text_4.started,text_4.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,text_7.started,text_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,sound_31.started,sound_31.stopped,text_10.started,text_10.stopped,polygon_26.started,polygon_26.stopped,sound_26.started,sound_26.stopped,polygon_27.started,polygon_27.stopped,sound_27.started,sound_27.stopped,polygon_28.started,polygon_28.stopped,sound_28.started,sound_28.stopped,polygon_29.started,polygon_29.stopped,sound_29.started,sound_29.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,polygon_30.started,polygon_30.stopped,sound_30.started,sound_30.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_31.started,polygon_31.stopped,polygon.started,polygon.stopped,sound_1.started,sound_1.stopped,polygon_3.started,polygon_3.stopped,sound_2.started,sound_2.stopped,polygon_4.started,polygon_4.stopped,sound_3.started,sound_3.stopped,polygon_2.started,polygon_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_4.started,sound_4.stopped,polygon_5.started,polygon_5.stopped,sound_5.started,sound_5.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,polygon_6.started,polygon_6.stopped,sound_6.started,sound_6.stopped,polygon_7.started,polygon_7.stopped,sound_7.started,sound_7.stopped,polygon_8.started,polygon_8.stopped,sound_8.started,sound_8.stopped,polygon_9.started,polygon_9.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,sound_9.started,sound_9.stopped,polygon_24.started,polygon_24.stopped,sound_24.started,sound_24.stopped,polygon_10.started,polygon_10.stopped,sound_10.started,sound_10.stopped,polygon_11.started,polygon_11.stopped,sound_11.started,sound_11.stopped,polygon_12.started,polygon_12.stopped,sound_12.started,sound_12.stopped,polygon_13.started,polygon_13.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,sound_13.started,sound_13.stopped,polygon_25.started,polygon_25.stopped,sound_25.started,sound_25.stopped,polygon_14.started,polygon_14.stopped,sound_14.started,sound_14.stopped,polygon_15.started,polygon_15.stopped,sound_15.started,sound_15.stopped,polygon_16.started,polygon_16.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,polygon_17.started,polygon_17.stopped,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon_18.started,polygon_18.stopped,sound_18.started,sound_18.stopped,polygon_19.started,polygon_19.stopped,sound_19.started,sound_19.stopped,polygon_20.started,polygon_20.stopped,sound_20.started,sound_20.stopped,polygon_21.started,polygon_21.stopped,sound_21.started,sound_21.stopped,polygon_22.started,polygon_22.stopped,sound_22.started,sound_22.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_23.started,polygon_23.stopped,sound_23.started,sound_23.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,25.02259785800561,None,25.02259785800561,None,0,,,space,8.95032259299478,26.005167763003556,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.97465181000007,None,49.978921380999964,None,49.978921380999964,None,0,,,space,7.137942555993504,50.945607184003165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.11417199399875,None,space,2.8273326420021476,58.11417199399875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.11417750120163,59.10215625099954,58.11417199399875,None,60.965330876002554,None,60.96524268820358,None,65.9667108010035,None,65.96667927620146,None,69.96803064300184,None,69.96804266020044,None,73.95651480500237,None,73.96765117620234,None,rshift,0,13.058989363002183,73.95651480500237,None,87.03914803900261,None,87.03931592620356,88.04055895499914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.02875426600076,None,94.04000827820127,None,99.02496094300295,None,99.03131927220383,None,103.02786236799875,None,103.02801995119952,None,107.02811932300392,None,107.02824382019898,None,rshift,1,0.9074038239996298,107.02811932300392,None,107.96168278800178,None,107.96165775320114,108.96174118899944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.9642192570027,None,114.96417203920427,None,119.9656793940012,None,119.96553020120481,None,123.96639065300405,None,123.9662033412038,None,127.96755838800163,None,127.96774623519886,None,rshift,0,0.5169361099979142,127.96755838800163,None,128.5176394670052,None,128.51759671420004,129.51777807300095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.5200142820031,None,135.52033560520212,None,140.52142826300405,None,140.52138100419833,None,144.52200339800038,None,144.52578815120214,None,148.51193902300292,None,148.52258241819945,None,rshift,1,0.7625541829984286,148.51193902300292,None,149.28936539000279,None,149.2949009812015,150.31032478799898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.29849045399897,None,space,0,5.9420052010027575,156.29849045399897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.26091109900153,None,168.0033787700013,None,168.0127444331898,None,174.25350745700416,None,174.26414211619849,None,178.25700860199868,None,178.26558643220196,None,182.01648363000277,None,rshift,1,2.0640090129963937,182.01648363000277,None,182.016516596204,None,184.34482937600114,None,184.35031621220114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.59538286000316,None,194.60401557818258,None,196.844937889,None,196.85434286819654,None,200.84629054800462,None,200.85570798019907,None,204.60610495100264,None,rshift,0,2.6083888029970694,204.60610495100264,None,204.60594757920043,None,207.48284979100572,None,207.4905915901996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.73909555999853,None,216.7456056551833,None,222.98425634800515,None,222.9949254721956,None,226.98519659400336,None,226.99617849819478,None,230.74741567900492,None,lshift,1,3.0280896550029865,230.74741567900492,None,230.7473834842036,None,234.03897856800177,None,234.0480998391955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.54466636299912,None,space,0,3.354878172998724,240.54466636299912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.91747179900267,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.4113263390027,None,250.420069442183,None,257.4117178660017,None,257.4221216751845,None,261.41311143599887,None,261.42348733218535,None,265.4151189539989,None,rshift,1,23.570384450002166,265.4151189539989,None,265.42607836018726,None,290.0038345710054,None,290.01368431318554,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.01114568900084,None,299.0177485931723,None,304.0074028259987,None,304.01869175819013,None,308.01082477599994,None,308.02005019918727,None,312.01194888000464,None,rshift,0,7.969567457999801,312.01194888000464,None,312.02126485418705,None,320.9968916370053,None,321.00738613218857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.00537171400356,None,333.0122447611735,None,339.00142102500104,None,339.01191878918473,None,343.0032274250043,None,343.01356802918747,None,347.0031807100022,None,rshift,0,2.1563255229993956,347.0031807100022,None,347.0146995431875,None,350.1719570860005,None,350.18187008118696,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.6774510260002,None,space,0,2.2750112499998068,360.6774510260002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.98523886000476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.4788441290002,None,369.4878839871832,None,375.4786296800012,None,375.48904144318806,None,379.4788764190016,None,379.4903905071857,None,383.48207329000434,None,lshift,1,4.300424118999217,383.48207329000434,None,383.49321257718987,None,388.8018924749995,None,388.81144025118704,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.8053103220009,None,399.813071744176,None,405.80335835000005,None,405.81423410818536,None,409.80450653600565,None,409.81550971418767,None,413.80563698100013,None,lshift,1,8.490854572999524,413.80563698100013,None,413.81696083918507,None,423.31179192600393,None,423.32015336019106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.3119220869994,None,431.32165078417313,None,435.3124574040048,None,435.32272902818806,None,439.314262730004,None,439.3258371961871,None,443.31478242300363,None,rshift,0,8.78368698599661,443.31478242300363,None,443.326419549188,None,453.119289000002,None,453.12859209918827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.62131708400557,None,space,0,2.777177935997315,460.62131708400557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.4306384570009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.9229244849994,None,469.93325609817987,None,474.92330918500375,None,474.9343665501889,None,478.9256010310055,None,478.93570009518737,None,482.93696646918545,None,482.9260389990013,None,rshift,1,0.966731736996735,483.9197890870055,None,485.8952230110008,None,485.90408893618735,486.90406311800325,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.8987268380006,None,497.9084916811713,None,501.89845576800144,None,501.90923925818936,None,505.9032628480054,None,505.91407041418427,None,509.9116789441847,None,509.8999872370041,None,lshift,0,6.039538555000036,510.87797931000387,None,517.9368417430014,None,517.9469155121857,518.9464840299988,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.9441718470043,None,527.9505331011766,None,532.9400072179997,None,532.9512194191863,None,536.9433945970013,None,536.9526782581903,None,540.9529664351882,None,540.9442816299998,None,rshift,0,1.5295161350004491,541.9199845210023,None,544.4620038330031,None,544.4712432351895,545.4713020380004,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.9629635640013,None,space,0,27.010539095004788,553.9629635640013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.9980689330041,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.4916116660024,None,587.5008401031824,None,591.490584033003,None,591.5016602441843,None,595.4911870340002,None,595.5024465621842,None,599.4937178700056,None,599.5034720081909,None,rshift,1,7.177329521000502,600.4871602540006,None,608.6799063810031,None,608.6896088051886,None,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.6874529120032,None,618.6954009561756,None,625.6846309559987,None,625.6950874061891,None,629.6850174020001,None,629.6955239711912,None,633.6856212890052,None,633.6967521961866,None,rshift,1,4.541521100996761,634.6620202429986,None,640.2205949850031,None,640.2308668141865,None,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649.2275782040015,None,649.2352058681732,None,655.2250620449995,None,655.2361735891915,None,659.2279107690047,None,659.2374339161848,None,663.2286421270037,None,663.2386668481864,None,rshift,1,0.5879159480027738,664.2215842090009,None,665.8289211830051,None,665.8391235751857,None,,,trialmain,001,2022-05-11_18h58.57.961,Trial_Exp,2022.1.2,59.91348038098122,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676.3344940550014,None,,,,,,,
